,page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
1 Night in San Diego,65472803,Q101245236,1 Night in San Diego,,,,,,,,,,
2 Hearts (film),65296437,Q98131145,2 Hearts,2020-10-16T00:00:00Z,,96,English,United States of America,['drama'],"['17%', '4.4/10']",[''],[''],
2 Hours Doing Nothing,64563393,Q98551701,2 Hours Doing Nothing,,,,,,,,,,
2 Minutes of Fame,65910356,Q104872880,2 Minutes of Fame,,,,,,,,,,
2 States (2020 film),63976643,Q96371040,2 States,2020-01-01T00:00:00Z,,,Malayalam,India,['romantic comedy'],[''],[''],[''],
The 2nd (film),64646681,Q97704006,The 2nd,2020-09-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
3 Monkeys (2020 film),62102539,Q84564924,3 Monkeys,2020-01-01T00:00:00Z,,,Telugu,India,['comedy drama'],[''],[''],[''],
3rd Class,62691094,Q85845264,3rd Class,2020-01-01T00:00:00Z,,,Kannada,India,[''],[''],[''],[''],
4 North A,67283467,Q106522036,4 North A,,,,,,,,,,
8:46 (special),64257247,Q96246160,8:46 (special),,,,,,,,,,
The 8th (film),68419478,Q108178729,The 8th (film),,,,,,,,,,
9/11 Kids,64257000,Q96371167,9/11 Kids,2020-01-01T00:00:00Z,,,,Canada,[''],[''],[''],[''],
9to5: The Story of a Movement,66177503,Q104834919,9to5: The Story of a Movement,2020-01-01T00:00:00Z,,,English,United States of America,['documentary'],"['100%', '7.2/10']",[''],[''],
10 Things We Should Do Before We Break Up,73723871,Q98767248,10 Things We Should Do Before We Break Up,2020-02-10T00:00:00Z,,74,English,United States of America,['romance'],[''],[''],[''],25000000
The 11th Green,65998949,Q104878185,The 11th Green,,,,,,,,,,
12 Hour Shift,64332560,Q97356619,12 Hour Shift,2020-01-01T00:00:00Z,,,English,United States of America,"['comedy', 'thriller', 'horror']","['6.6/10', '77%']",[''],[''],
13 Slays Till X-Mas,70174635,Q111942366,13 Slays Till X-Mas,2020-11-13T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
18 Presents,64237990,Q86669403,18 Presents,2020-01-01T00:00:00Z,,115,Italian,Italy,['drama'],"['6.2/10', '60%']",[''],[''],
23 Walks,64694602,Q98078987,23 Walks,2020-07-30T00:00:00Z,,,English,United Kingdom,"['comedy drama', 'romantic comedy']","['5.9/10', '73%']",[''],[''],
The 24th,63072594,Q85806291,The 24th,,,,,,,,,,
25 Years of Innocence,74745649,Q98298706,25 Years of Innocence,2020-09-18T00:00:00Z,,,,Poland,['crime'],[''],[''],[''],
32 Malasana Street,69279672,Q84235460,32 Malasana Street,2020-05-27T00:00:00Z,,105,Spanish,Spain,"['thriller', 'horror']","['5.6/10', '43%']",[''],[''],3000000
40 Sticks,65768655,Q104868423,40 Sticks,2020-01-01T00:00:00Z,,,,Kenya,['thriller'],[''],[''],[''],
40 Years of Rocky: The Birth of a Classic,64248650,Q101244976,40 Years of Rocky: The Birth of a Classic,,,,,,,,,,
47 Days,64315589,Q96417513,47 Days,,,,,,,,,,
